id,brand,description,calories,source
291515,,Dulce de leche (1 cup),945.0,usda
291517,,"Barfi or Burfi, Indian dessert (1 piece)",127.8,usda
291518,,"Barfi or Burfi, Indian dessert (1 cubic inch)",59.6,usda
291520,,Trifle (1 cup),245.1,usda
291521,,Trifle (1 cubic inch),16.9,usda
291523,,Tiramisu (1 piece),617.8,usda
291524,,Tiramisu (1 cubic inch),35.3,usda
291525,,Tiramisu (1 cup),511.9,usda
291529,,Cheese (1 cracker-size slice),34.3,usda
291530,,Cheese (1 slice),80.0,usda
291531,,Cheese (1 stick),106.7,usda
291532,,Cheese (1 cup),430.5,usda
291533,,"Cheese (1 cup, melted)",929.6,usda
291534,,Cheese (1 cubic inch),65.9,usda
291536,,"Cheese, Blue or Roquefort (1 cracker-size slice)",31.8,usda
291537,,"Cheese, Blue or Roquefort (1 slice)",74.1,usda
291538,,"Cheese, Blue or Roquefort (1 cup, crumbled)",476.6,usda
291539,,"Cheese, Blue or Roquefort (1 cubic inch)",61.1,usda
291541,,"Cheese, Brick (1 cracker-size slice)",33.4,usda
291542,,"Cheese, Brick (1 slice)",77.9,usda
291543,,"Cheese, Brick (1 cup, shredded)",419.2,usda
291544,,"Cheese, Brick (1 cup, diced)",489.7,usda
291545,,"Cheese, Brick (1 cup)",419.2,usda
291546,,"Cheese, Brick (1 cubic inch)",63.8,usda
291548,,"Cheese, Camembert (1 wedge (1.33 oz))",114.0,usda
291549,,"Cheese, Camembert (1 cup)",738.0,usda
291550,,"Cheese, Camembert (1 cubic inch)",51.0,usda
291552,,"Cheese, Brie (1 package (4.5 oz))",427.5,usda
291553,,"Cheese, Brie (1 cup, sliced)",481.0,usda
291554,,"Cheese, Brie (1 cup, melted)",801.6,usda
291555,,"Cheese, Brie (1 cup)",481.0,usda
291556,,"Cheese, Brie (1 cubic inch)",56.8,usda
291558,,"Cheese, Cheddar (1 cracker-size slice)",36.8,usda
291559,,"Cheese, Cheddar (1 slice)",85.9,usda
